sex,country,year,employment_rate,observation_flag
Females,Austria,2009,68.2,none
Females,Austria,2010,68.8,none
Females,Austria,2011,69.2,none
Females,Austria,2012,69.6,none
Females,Austria,2013,70.0,none
Females,Austria,2014,70.1,none
Females,Austria,2015,70.2,none
Females,Austria,2016,70.9,none
Females,Austria,2017,71.4,none
Females,Austria,2018,71.7,none
Females,Austria,2019,72.4,none
Females,Austria,2020,70.6,none
Females,Austria,2021,71.3,none
Females,Austria,2022,73.4,none
Females,Austria,2023,73.3,none
Females,Austria,2024,73.9,none
Females,Austria,2025,74.2,none
Females,Bosnia and Herzegovina,2021,39.1,none
Females,Bosnia and Herzegovina,2022,40.0,none
Females,Bosnia and Herzegovina,2023,42.1,none
Females,Bosnia and Herzegovina,2024,44.3,none
Females,Bosnia and Herzegovina,2025,45.2,none
Females,Belgium,2009,61.0,none
Females,Belgium,2010,61.6,none
Females,Belgium,2011,61.5,none
Females,Belgium,2012,61.7,none
Females,Belgium,2013,62.1,none
Females,Belgium,2014,62.9,none
Females,Belgium,2015,63.0,none
Females,Belgium,2016,63.0,none
Females,Belgium,2017,63.6,b
Females,Belgium,2018,65.5,none
Females,Belgium,2019,66.5,none
Females,Belgium,2020,65.6,none
Females,Belgium,2021,66.8,none
Females,Belgium,2022,68.1,none
Females,Belgium,2023,68.3,none
Females,Belgium,2024,68.3,none
Females,Belgium,2025,69.3,none
Females,Bulgaria,2009,63.6,none
Females,Bulgaria,2010,60.3,b
Females,Bulgaria,2011,59.4,b
Females,Bulgaria,2012,59.8,none
Females,Bulgaria,2013,60.2,none
Females,Bulgaria,2014,61.5,none
Females,Bulgaria,2015,63.3,none
Females,Bulgaria,2016,63.6,none
Females,Bulgaria,2017,66.8,none
Females,Bulgaria,2018,67.8,none
Females,Bulgaria,2019,70.2,b
Females,Bulgaria,2020,68.5,none
Females,Bulgaria,2021,69.1,none
Females,Bulgaria,2022,72.1,none
Females,Bulgaria,2023,72.6,none
Females,Bulgaria,2024,73.1,b
Females,Bulgaria,2025,73.2,none
Females,Switzerland,2010,73.2,b
Females,Switzerland,2011,74.6,none
Females,Switzerland,2012,75.3,none
Females,Switzerland,2013,75.3,none
Females,Switzerland,2014,76.2,none
Females,Switzerland,2015,76.8,none
Females,Switzerland,2016,77.5,none
Females,Switzerland,2017,77.4,none
Females,Switzerland,2018,77.9,none
Females,Switzerland,2019,78.6,none
Females,Switzerland,2020,78.3,none
Females,Switzerland,2021,78.1,none
Females,Switzerland,2022,78.4,none
Females,Switzerland,2023,79.2,none
Females,Switzerland,2024,79.5,none
Females,Switzerland,2025,79.2,none
Females,Cyprus,2009,68.3,none
Females,Cyprus,2010,68.8,none
Females,Cyprus,2011,67.7,none
Females,Cyprus,2012,64.8,none
Females,Cyprus,2013,62.2,none
Females,Cyprus,2014,63.9,none
Females,Cyprus,2015,64.0,none
Females,Cyprus,2016,64.1,none
Females,Cyprus,2017,66.2,none
Females,Cyprus,2018,68.9,none
Females,Cyprus,2019,70.7,none
Females,Cyprus,2020,69.5,none
Females,Cyprus,2021,70.8,none
Females,Cyprus,2022,73.4,none
Females,Cyprus,2023,75.2,none
Females,Cyprus,2024,75.0,none
Females,Cyprus,2025,76.3,none
Females,Czechia,2009,61.4,none
Females,Czechia,2010,60.9,none
Females,Czechia,2011,61.7,b
Females,Czechia,2012,62.5,none
Females,Czechia,2013,63.8,none
Females,Czechia,2014,64.7,none
Females,Czechia,2015,66.4,none
Females,Czechia,2016,68.6,none
Females,Czechia,2017,70.5,none
Females,Czechia,2018,72.2,none
Females,Czechia,2019,72.7,none
Females,Czechia,2020,71.9,none
Females,Czechia,2021,72.1,none
Females,Czechia,2022,73.7,none
Females,Czechia,2023,74.5,none
Females,Czechia,2024,75.8,none
Females,Czechia,2025,77.5,none
Females,Germany,2009,67.8,none
Females,Germany,2010,68.8,b
Females,Germany,2011,70.3,b
Females,Germany,2012,70.7,none
Females,Germany,2013,71.5,none
Females,Germany,2014,72.2,none
Females,Germany,2015,72.7,none
Females,Germany,2016,73.6,none
Females,Germany,2017,74.3,none
Females,Germany,2018,75.0,none
Females,Germany,2019,75.7,none
Females,Germany,2020,74.6,b
Females,Germany,2021,75.9,none
Females,Germany,2022,77.0,none
Females,Germany,2023,77.4,none
Females,Germany,2024,77.7,none
Females,Germany,2025,77.7,none
Females,Denmark,2009,73.1,none
Females,Denmark,2010,72.0,none
Females,Denmark,2011,71.4,none
Females,Denmark,2012,71.1,none
Females,Denmark,2013,71.2,none
Females,Denmark,2014,71.0,none
Females,Denmark,2015,71.5,none
Females,Denmark,2016,72.5,b
Females,Denmark,2017,73.2,b
Females,Denmark,2018,73.9,none
Females,Denmark,2019,74.7,none
Females,Denmark,2020,74.3,none
Females,Denmark,2021,75.5,none
Females,Denmark,2022,77.4,none
Females,Denmark,2023,77.0,b
Females,Denmark,2024,76.9,none
Females,Denmark,2025,76.7,none
Females,Euro area – 20 countries (2023-2025),2009,61.7,none
Females,Euro area – 20 countries (2023-2025),2010,61.6,none
Females,Euro area – 20 countries (2023-2025),2011,61.9,none
Females,Euro area – 20 countries (2023-2025),2012,61.8,none
Females,Euro area – 20 countries (2023-2025),2013,61.9,none
Females,Euro area – 20 countries (2023-2025),2014,62.5,none
Females,Euro area – 20 countries (2023-2025),2015,63.3,none
Females,Euro area – 20 countries (2023-2025),2016,64.3,none
Females,Euro area – 20 countries (2023-2025),2017,65.3,none
Females,Euro area – 20 countries (2023-2025),2018,66.3,none
Females,Euro area – 20 countries (2023-2025),2019,67.2,none
Females,Euro area – 20 countries (2023-2025),2020,66.0,none
Females,Euro area – 20 countries (2023-2025),2021,67.4,none
Females,Euro area – 20 countries (2023-2025),2022,68.9,none
Females,Euro area – 20 countries (2023-2025),2023,69.9,none
Females,Euro area – 20 countries (2023-2025),2024,70.5,none
Females,Euro area – 20 countries (2023-2025),2025,71.0,none
Females,Euro area – 21 countries (from 2026),2009,61.7,none
Females,Euro area – 21 countries (from 2026),2010,61.5,none
Females,Euro area – 21 countries (from 2026),2011,61.8,none
Females,Euro area – 21 countries (from 2026),2012,61.8,none
Females,Euro area – 21 countries (from 2026),2013,61.8,none
Females,Euro area – 21 countries (from 2026),2014,62.5,none
Females,Euro area – 21 countries (from 2026),2015,63.3,none
Females,Euro area – 21 countries (from 2026),2016,64.3,none
Females,Euro area – 21 countries (from 2026),2017,65.3,none
Females,Euro area – 21 countries (from 2026),2018,66.3,none
Females,Euro area – 21 countries (from 2026),2019,67.2,none
Females,Euro area – 21 countries (from 2026),2020,66.1,none
Females,Euro area – 21 countries (from 2026),2021,67.4,none
Females,Euro area – 21 countries (from 2026),2022,69.0,none
Females,Euro area – 21 countries (from 2026),2023,69.9,none
Females,Euro area – 21 countries (from 2026),2024,70.5,none
Females,Euro area – 21 countries (from 2026),2025,71.1,none
Females,Estonia,2009,69.9,none
Females,Estonia,2010,67.4,none
Females,Estonia,2011,68.6,none
Females,Estonia,2012,71.1,none
Females,Estonia,2013,71.6,none
Females,Estonia,2014,71.9,none
Females,Estonia,2015,73.7,none
Females,Estonia,2016,73.7,none
Females,Estonia,2017,76.8,none
Females,Estonia,2018,76.8,none
Females,Estonia,2019,77.5,none
Females,Estonia,2020,76.9,none
Females,Estonia,2021,77.5,none
Females,Estonia,2022,80.4,none
Females,Estonia,2023,80.9,none
Females,Estonia,2024,80.9,none
Females,Estonia,2025,81.4,none
Females,Greece,2009,52.4,none
Females,Greece,2010,51.2,none
Females,Greece,2011,48.1,none
Females,Greece,2012,44.6,none
Females,Greece,2013,42.9,none
Females,Greece,2014,43.8,none
Females,Greece,2015,45.6,none
Females,Greece,2016,46.2,none
Females,Greece,2017,47.4,none
Females,Greece,2018,48.3,none
